employee_id,hours,date,position_id
PWEI_RF_001,13,7/10/2020,RF
MGI_MM_002,11,11/10/2019,MM
MGI_MM_003,11,9/23/2022,MM
RGEC_RF_004,12,12/21/2019,RF
PSC_RF_005,15,9/23/2021,RF
PWEI_RF_006,18,11/3/2021,RF
PWEI_RF_007,14,11/4/2022,RF
RGEC_MM_008,23,2/16/2019,MM
RGEC_MM_009,13,2/14/2021,MM
RGEC_RF_010,23,3/22/2020,RF
PWEI_RF_011,11,4/9/2020,RF
RGEC_RF_012,22,3/5/2022,RF
PWEI_MM_013,10,12/8/2023,MM
MGI_RF_014,19,11/21/2021,RF
MGI_RF_015,23,10/23/2022,RF
RGEC_RF_016,17,9/27/2022,RF
RGEC_SM_017,19,4/14/2023,SM
PSC_RF_018,16,5/6/2021,RF
RGEC_MM_019,23,1/24/2022,MM
MGI_RF_020,16,2/18/2022,RF
PSC_MM_021,16,11/21/2022,MM
PSC_RF_022,12,5/18/2020,RF
PSC_RF_023,25,9/17/2022,RF
PWEI_SM_024,16,1/17/2021,SM
RGEC_RF_025,24,4/21/2020,RF
RGEC_RF_026,22,9/26/2023,RF
RGEC_RF_027,17,9/3/2020,RF
PSC_MM_028,23,10/24/2023,MM
PWEI_RF_029,20,6/28/2019,RF
RGEC_RF_030,16,11/21/2023,RF
