employee_id,gender,birthdate,position_id,position_name,p_np,company_id
PWEI_RF_001,M,7/12/1981,RF,,NP,PWEI
MGI_MM_002,F,3/6/1979,MM,,P,MGI
MGI_MM_003,F,8/25/1962,MM,,P,MGI
RGEC_RF_004,F,3/3/1988,RF,,NP,RGEC
PSC_RF_005,F,2/14/1981,RF,,P,PSC
PWEI_RF_006,M,7/9/1989,RF,,NP,PWEI
PWEI_RF_007,M,10/28/1991,RF,,NP,PWEI
RGEC_MM_008,F,12/25/1996,MM,,NP,RGEC
RGEC_MM_009,M,4/8/1998,MM,,NP,RGEC
RGEC_RF_010,M,3/9/1963,RF,,NP,RGEC
PWEI_RF_011,M,9/26/1992,RF,,NP,PWEI
RGEC_RF_012,M,10/3/1994,RF,,NP,RGEC
PWEI_MM_013,M,9/24/1989,MM,,P,PWEI
MGI_RF_014,M,1/20/1985,RF,,NP,MGI
MGI_RF_015,F,7/5/1995,RF,,NP,MGI
RGEC_RF_016,M,11/15/1971,RF,,NP,RGEC
RGEC_SM_017,F,9/2/1985,SM,,P,RGEC
PSC_RF_018,M,9/9/1999,RF,,NP,PSC
RGEC_MM_019,M,8/19/1997,MM,,NP,RGEC
MGI_RF_020,M,7/10/1997,RF,,NP,MGI
PSC_MM_021,F,1/20/1956,MM,,P,PSC
PSC_RF_022,M,8/19/1981,RF,,NP,PSC
PSC_RF_023,M,6/6/1998,RF,,P,PSC
PWEI_SM_024,M,6/17/1996,SM,,P,PWEI
RGEC_RF_025,M,9/3/1997,RF,,NP,RGEC
RGEC_RF_026,F,4/29/1986,RF,,NP,RGEC
RGEC_RF_027,M,10/27/1985,RF,,P,RGEC
PSC_MM_028,M,11/16/1955,MM,,NP,PSC
PWEI_RF_029,M,9/10/1986,RF,,P,PWEI
RGEC_RF_030,M,10/31/1996,RF,,P,RGEC
RGEC_MM_031,M,2/15/1980,MM,,NP,RGEC
RGEC_MM_032,M,5/21/1987,MM,,NP,RGEC
MGI_MM_033,M,5/14/1968,MM,,NP,MGI
PWEI_MM_034,M,4/3/1995,MM,,NP,PWEI
MGI_RF_035,M,7/7/1962,RF,,NP,MGI
RGEC_RF_036,F,10/29/1973,RF,,P,RGEC
PSC_SM_037,M,5/22/1957,SM,,P,PSC
PWEI_RF_038,M,2/13/1966,RF,,NP,PWEI
PSC_MM_039,M,4/6/1975,MM,,NP,PSC
RGEC_RF_040,M,2/27/1981,RF,,P,RGEC
PSC_RF_041,M,1/14/1996,RF,,P,PSC
PSC_RF_042,F,8/5/1955,RF,,NP,PSC
PWEI_RF_043,F,3/18/1988,RF,,P,PWEI
RGEC_RF_044,M,8/18/1980,RF,,P,RGEC
RGEC_RF_045,M,6/10/1998,RF,,P,RGEC
RGEC_RF_046,M,3/12/1996,RF,,NP,RGEC
PWEI_RF_047,M,6/10/1978,RF,,P,PWEI
RGEC_RF_048,M,2/2/1967,RF,,P,RGEC
MGI_RF_049,F,6/6/1971,RF,,NP,MGI
PSC_RF_050,M,3/3/1978,RF,,P,PSC
RGEC_RF_051,M,5/22/1984,RF,,P,RGEC
RGEC_RF_052,M,5/19/1965,RF,,P,RGEC
RGEC_RF_053,M,3/16/1981,RF,,P,RGEC
RGEC_RF_054,M,10/25/1988,RF,,P,RGEC
RGEC_RF_055,F,2/25/1994,RF,,P,RGEC
PWEI_MM_056,F,5/6/1981,MM,,P,PWEI
PSC_RF_057,F,2/9/1995,RF,,P,PSC
RGEC_RF_058,M,7/9/1997,RF,,NP,RGEC
MGI_MM_059,M,1/1/1972,MM,,P,MGI
PWEI_RF_060,F,1/26/1980,RF,,NP,PWEI
RGEC_MM_061,F,2/2/1993,MM,,NP,RGEC
PWEI_RF_062,M,5/9/1996,RF,,NP,PWEI
RGEC_MM_063,M,10/1/1984,MM,,P,RGEC
RGEC_RF_064,F,4/24/1976,RF,,P,RGEC
RGEC_SM_065,M,4/12/1990,SM,,P,RGEC
PSC_RF_066,F,12/5/1998,RF,,NP,PSC
RGEC_RF_067,F,5/1/1999,RF,,NP,RGEC
PSC_RF_068,M,5/3/1976,RF,,P,PSC
PSC_RF_069,F,7/3/1984,RF,,P,PSC
PWEI_RF_070,M,5/8/1961,RF,,P,PWEI
MGI_MM_071,M,9/7/1979,MM,,P,MGI
RGEC_MM_072,M,4/4/1995,MM,,P,RGEC
MGI_RF_073,F,1/9/1972,RF,,P,MGI
RGEC_MM_074,F,8/9/1998,MM,,P,RGEC
PWEI_RF_075,F,4/20/1975,RF,,P,PWEI
PSC_MM_076,M,7/29/1986,MM,,P,PSC
MGI_MM_077,M,2/6/1995,MM,,NP,MGI
RGEC_RF_078,M,11/5/1995,RF,,P,RGEC
PSC_MM_079,M,8/16/1958,MM,,P,PSC
MGI_MM_080,F,1/28/1979,MM,,NP,MGI
PWEI_MM_081,M,6/29/1969,MM,,NP,PWEI
PWEI_MM_082,F,10/19/1972,MM,,P,PWEI
PWEI_RF_083,F,4/9/1975,RF,,P,PWEI
PSC_RF_084,M,8/31/1987,RF,,NP,PSC
PSC_MM_085,F,11/25/1993,MM,,NP,PSC
RGEC_RF_086,M,8/27/1998,RF,,NP,RGEC
PSC_SM_087,M,12/18/1995,SM,,P,PSC
RGEC_MM_088,M,11/12/1987,MM,,NP,RGEC
RGEC_MM_089,M,6/9/1979,MM,,NP,RGEC
PWEI_RF_090,F,4/24/1995,RF,,NP,PWEI
PWEI_RF_091,M,8/16/1997,RF,,P,PWEI
PWEI_MM_092,M,10/11/1995,MM,,NP,PWEI
RGEC_MM_093,F,5/1/1959,MM,,P,RGEC
PSC_RF_094,M,10/22/1981,RF,,NP,PSC
MGI_MM_095,M,8/22/1979,MM,,P,MGI
RGEC_RF_096,F,8/22/1995,RF,,P,RGEC
RGEC_MM_097,M,10/6/1995,MM,,P,RGEC
RGEC_RF_098,M,5/25/1995,RF,,P,RGEC
PWEI_RF_099,M,9/25/1977,RF,,NP,PWEI
RGEC_SM_100,F,12/16/1992,SM,,P,RGEC
RGEC_MM_101,F,1/10/1995,MM,,NP,RGEC
PSC_MM_102,M,2/18/1985,MM,,NP,PSC
PSC_RF_103,M,12/21/1961,RF,,P,PSC
PWEI_RF_104,M,6/26/1976,RF,,NP,PWEI
MGI_MM_105,M,4/2/1999,MM,,P,MGI
MGI_MM_106,F,12/1/1978,MM,,NP,MGI
PSC_RF_107,F,9/16/1993,RF,,NP,PSC
RGEC_MM_108,M,7/7/1998,MM,,P,RGEC
RGEC_MM_109,M,4/27/1977,MM,,P,RGEC
RGEC_MM_110,F,9/7/1995,MM,,NP,RGEC
RGEC_MM_111,M,4/8/1996,MM,,P,RGEC
PWEI_RF_112,M,7/26/1956,RF,,P,PWEI
PSC_RF_113,F,4/26/1993,RF,,P,PSC
RGEC_MM_114,M,6/28/1960,MM,,NP,RGEC
PSC_RF_115,M,5/17/1995,RF,,NP,PSC
RGEC_MM_116,M,3/4/1964,MM,,NP,RGEC
PSC_MM_117,M,4/28/1960,MM,,P,PSC
RGEC_RF_118,F,4/6/1991,RF,,NP,RGEC
RGEC_MM_119,F,8/1/1997,MM,,P,RGEC
PSC_MM_120,M,10/8/1988,MM,,NP,PSC
MGI_RF_121,M,5/17/1995,RF,,P,MGI
PSC_RF_122,M,9/9/1980,RF,,NP,PSC
RGEC_RF_123,F,3/22/1990,RF,,NP,RGEC
MGI_RF_124,M,1/26/1962,RF,,NP,MGI
RGEC_RF_125,M,12/23/1992,RF,,P,RGEC
PWEI_RF_126,M,5/9/1985,RF,,P,PWEI
RGEC_RF_127,M,6/16/1998,RF,,NP,RGEC
MGI_RF_128,F,8/24/1990,RF,,P,MGI
